date_time,time,low,high,open,close,volume,day
2017-07-31 12:00:00,1501466400,194.0,196.0,194.33,195.28,2841.6381434,0
2017-07-31 13:00:00,1501470000,194.92,196.49,195.29,195.4,2157.58485694,0
2017-07-31 14:00:00,1501473600,195.0,195.97,195.39,195.77,1311.34118252,0
2017-07-31 15:00:00,1501477200,195.0,195.9,195.77,195.41,1739.86373365,0
2017-07-31 16:00:00,1501480800,195.06,197.5,195.43,197.34,2879.59157406,0
2017-07-31 17:00:00,1501484400,195.86,197.47,197.25,195.86,2659.94048459,0
2017-07-31 18:00:00,1501488000,194.3,196.0,195.86,194.3,2768.29780683,0
2017-07-31 19:00:00,1501491600,194.08,196.29,194.31,194.82,1747.16119291,0
2017-07-31 20:00:00,1501495200,193.45,194.89,194.8,193.45,3717.93667552,0
2017-07-31 21:00:00,1501498800,191.0,193.54,193.46,191.48,5517.06566325,0
2017-07-31 22:00:00,1501502400,190.78,193.6,191.47,191.3,4999.00774852,0
2017-07-31 23:00:00,1501506000,190.9,196.77,191.3,194.56,7684.42562714,0
2017-08-01 00:00:00,1501509600,192.09,195.73,194.85,192.5,5609.28121823,1
2017-08-01 01:00:00,1501513200,192.49,195.5,192.5,194.42,4145.7361063,1
2017-08-01 02:00:00,1501516800,194.42,196.85,194.42,196.7,5463.00719716,1
2017-08-01 03:00:00,1501520400,196.0,197.5,196.71,196.91,6228.77441501,1
2017-08-01 04:00:00,1501524000,196.91,201.21,196.92,200.25,14876.57086559,1
2017-08-01 05:00:00,1501527600,198.25,200.52,200.32,198.45,8149.30974517,1
2017-08-01 06:00:00,1501531200,197.88,199.99,198.42,199.96,6726.70843994,1
2017-08-01 07:00:00,1501534800,199.52,201.98,199.97,200.0,9224.93781634,1
2017-08-01 08:00:00,1501538400,199.99,201.0,199.99,200.11,4432.44686431,1
2017-08-01 09:00:00,1501542000,199.3,200.99,200.12,200.82,4713.58025133,1
2017-08-01 10:00:00,1501545600,200.82,209.48,200.83,205.67,31580.614523,1
2017-08-01 11:00:00,1501549200,202.29,206.89,205.66,206.85,14047.48349265,1
2017-08-01 12:00:00,1501552800,204.79,206.85,206.85,205.95,5970.14800368,1
2017-08-01 13:00:00,1501556400,205.84,208.6,205.95,208.55,11638.46972005,1
2017-08-01 14:00:00,1501560000,208.54,218.81,208.54,214.18,69262.93742506,1
2017-08-01 15:00:00,1501563600,214.03,218.8,214.18,218.48,18679.33568024,1
2017-08-01 16:00:00,1501567200,216.52,224.58,218.49,221.75,35569.49890762,1
2017-08-01 17:00:00,1501570800,213.15,222.5,221.81,213.91,23601.12378021,1
2017-08-01 18:00:00,1501574400,212.38,219.79,213.9,214.22,11415.28810503,1
2017-08-01 19:00:00,1501578000,212.39,215.82,214.27,215.05,4158.30450055,1
2017-08-01 20:00:00,1501581600,212.71,215.87,215.06,212.83,4470.84429755,1
2017-08-01 21:00:00,1501585200,211.0,213.73,212.99,212.29,10867.30706395,1
2017-08-01 22:00:00,1501588800,210.63,222.75,212.29,219.0,32908.23757333,1
2017-08-01 23:00:00,1501592400,213.51,221.27,219.16,217.68,14932.41235762,1
2017-08-02 00:00:00,1501596000,214.65,219.69,217.67,218.5,8439.71292337,2
2017-08-02 01:00:00,1501599600,216.07,219.29,219.29,216.6,6134.16440525,2
2017-08-02 02:00:00,1501603200,215.25,221.0,216.6,221.0,11507.29017486,2
2017-08-02 03:00:00,1501606800,218.0,222.88,221.0,220.9,16170.9850892,2
2017-08-02 04:00:00,1501610400,220.12,229.16,220.89,226.29,27865.91996302,2
