time,open,high,low,close,Developing Poc,Developing VA High,Developing VA Low,Basis,Upper,Lower,Yesterday&#039;s High,Yesterday&#039;s Low,Last week&#039;s High,Last week&#039;s Low,Daily Open,Daily Close,Yesterday&#039;s Open,Yesterday&#039;s Close,Weekly Open,Weekly Close,Last Week Open,Last Week Close,Monthly Open,Monthly Close,Last Month Open,Last Month Close,Yearly Open,Yearly Close,Last Year Open,Last Year Close,Developing Poc,Developing VA High,Developing VA Low,Volume,Volume MA
1464912000,14.03,14.12,13.49,13.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13008.11416,NaN
1464998400,13.98,14.03,13.56,13.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6261.46108,NaN
1465084800,13.97,14.06,13.8,14.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1959.58673,NaN
1465171200,14.02,14.3,13.83,14.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5140.25722,NaN
1465257600,14.21,14.69,13.97,14.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13018.45493,NaN
1465344000,14.53,14.87,14.4,14.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12612.50998,NaN
1465430400,14.64,14.85,14.55,14.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8228.79096,NaN
1465516800,14.61,14.74,13.76,13.91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17343.60767,NaN
1465603200,13.93,14.29,13.86,14.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7584.34767,8369.9745615
1465689600,14.14,15.91,13.92,15.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20345.7689,9387.22367
